,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
9097,Andrew Cashner,4 Seam Fastball,-1.276,2.1180000000000003,L,1.0,1.0
9098,Andrew Cashner,Changeup,-1.021,1.874,L,2.0,1.0
9099,Andrew Cashner,4 Seam Fastball,0.1,2.247,R,0.0,0.0
9100,Andrew Cashner,Slider,1.832,1.263,R,0.0,1.0
9101,Andrew Cashner,2 Seam Fastball,-1.544,3.1830000000000003,R,1.0,1.0
9102,Andrew Cashner,2 Seam Fastball,-0.451,3.529,R,2.0,1.0
9103,Andrew Cashner,4 Seam Fastball,0.052000000000000005,2.002,R,3.0,1.0
9104,Andrew Cashner,2 Seam Fastball,-1.101,3.939,R,3.0,2.0
9105,Andrew Cashner,4 Seam Fastball,0.476,2.699,R,3.0,2.0
9106,Andrew Cashner,4 Seam Fastball,0.2,2.4730000000000003,R,3.0,2.0
9124,Andrew Cashner,4 Seam Fastball,-1.726,1.503,L,0.0,0.0
9125,Andrew Cashner,2 Seam Fastball,0.091,2.116,L,1.0,0.0
9126,Andrew Cashner,Slider,1.095,0.902,R,0.0,0.0
9127,Andrew Cashner,4 Seam Fastball,-1.422,2.784,R,0.0,1.0
9128,Andrew Cashner,2 Seam Fastball,-1.044,2.377,L,0.0,0.0
9129,Andrew Cashner,Slider,1.152,0.073,L,0.0,1.0
9130,Andrew Cashner,2 Seam Fastball,-1.79,3.487,L,1.0,1.0
9131,Andrew Cashner,4 Seam Fastball,0.083,3.272,L,2.0,1.0
9132,Andrew Cashner,Slider,0.463,3.375,L,2.0,2.0
9133,Andrew Cashner,Changeup,-0.5329999999999999,2.215,L,0.0,0.0
9134,Andrew Cashner,2 Seam Fastball,-1.69,3.781,L,0.0,1.0
9135,Andrew Cashner,Changeup,-1.273,1.307,L,1.0,1.0
9136,Andrew Cashner,4 Seam Fastball,-1.2009999999999998,3.686,L,2.0,1.0
9137,Andrew Cashner,4 Seam Fastball,0.5920000000000001,2.735,L,2.0,2.0
9138,Andrew Cashner,Slider,2.594,0.743,L,2.0,2.0
9139,Andrew Cashner,4 Seam Fastball,-1.263,2.481,L,3.0,2.0
9140,Andrew Cashner,Slider,0.035,2.721,R,0.0,0.0
9141,Andrew Cashner,2 Seam Fastball,-0.677,1.656,R,0.0,1.0
9142,Andrew Cashner,Slider,0.898,1.012,R,0.0,2.0
9143,Andrew Cashner,4 Seam Fastball,-0.8420000000000001,2.5860000000000003,R,1.0,2.0
9144,Andrew Cashner,Slider,0.605,2.241,R,1.0,2.0
10257,Miguel Castro,4 Seam Fastball,-0.452,2.271,R,0.0,0.0
10258,Miguel Castro,4 Seam Fastball,-0.478,2.363,L,0.0,0.0
10259,Miguel Castro,Changeup,-0.949,2.6660000000000004,L,0.0,1.0
10260,Miguel Castro,Changeup,-0.846,1.001,L,0.0,2.0
10898,Asher Wojciechowski,4 Seam Fastball,-1.109,1.335,L,0.0,0.0
10899,Asher Wojciechowski,4 Seam Fastball,-0.198,2.677,L,1.0,0.0
10900,Asher Wojciechowski,4 Seam Fastball,0.504,2.835,L,0.0,0.0
10901,Asher Wojciechowski,4 Seam Fastball,-0.211,1.878,L,0.0,0.0
10902,Asher Wojciechowski,4 Seam Fastball,0.182,2.756,L,0.0,0.0
10903,Asher Wojciechowski,Changeup,-0.19,2.339,L,0.0,1.0
10904,Asher Wojciechowski,4 Seam Fastball,0.343,4.007,L,0.0,2.0
10905,Asher Wojciechowski,4 Seam Fastball,1.638,2.335,L,1.0,2.0
10906,Asher Wojciechowski,Slider,1.194,0.317,L,2.0,2.0
10907,Asher Wojciechowski,Changeup,-0.424,2.384,L,3.0,2.0
10908,Asher Wojciechowski,Changeup,-0.939,3.2460000000000004,L,0.0,0.0
10909,Asher Wojciechowski,Changeup,-0.066,1.621,L,1.0,0.0
10910,Asher Wojciechowski,4 Seam Fastball,1.497,2.379,L,1.0,1.0
10911,Asher Wojciechowski,Changeup,1.041,1.651,L,2.0,1.0
10912,Asher Wojciechowski,Changeup,0.018000000000000002,2.411,L,3.0,1.0
10939,Asher Wojciechowski,4 Seam Fastball,-0.025,2.729,R,0.0,0.0
10940,Asher Wojciechowski,Cutter,1.628,3.181,R,0.0,1.0
10941,Asher Wojciechowski,Slider,-0.182,2.369,R,1.0,1.0
10942,Asher Wojciechowski,4 Seam Fastball,0.129,4.5760000000000005,L,0.0,0.0
10943,Asher Wojciechowski,Changeup,-0.871,3.056,L,1.0,0.0
10944,Asher Wojciechowski,4 Seam Fastball,-0.077,4.022,L,1.0,1.0
10945,Asher Wojciechowski,Changeup,-0.518,3.893,L,0.0,0.0
10946,Asher Wojciechowski,Changeup,-0.485,3.258,L,1.0,0.0
10947,Asher Wojciechowski,4 Seam Fastball,1.158,2.948,L,1.0,1.0
10948,Asher Wojciechowski,4 Seam Fastball,-0.077,3.759,L,2.0,1.0
10949,Asher Wojciechowski,4 Seam Fastball,0.6679999999999999,2.48,L,2.0,2.0
10950,Asher Wojciechowski,Slider,-0.364,2.0540000000000003,R,0.0,0.0
10951,Asher Wojciechowski,4 Seam Fastball,-0.8690000000000001,2.366,R,0.0,1.0
10952,Asher Wojciechowski,Slider,0.394,-0.812,R,0.0,2.0
10953,Asher Wojciechowski,4 Seam Fastball,0.6659999999999999,2.4,R,1.0,2.0
10954,Asher Wojciechowski,Changeup,-0.214,2.084,L,0.0,0.0
10955,Asher Wojciechowski,Slider,0.401,1.172,L,0.0,1.0
10956,Asher Wojciechowski,4 Seam Fastball,-0.8909999999999999,3.164,L,1.0,1.0
10957,Asher Wojciechowski,Changeup,-1.007,3.169,L,2.0,1.0
10958,Asher Wojciechowski,4 Seam Fastball,0.335,2.379,L,3.0,1.0
10987,Asher Wojciechowski,4 Seam Fastball,-1.264,4.407,L,0.0,0.0
10988,Asher Wojciechowski,4 Seam Fastball,-0.468,2.479,L,1.0,0.0
10989,Asher Wojciechowski,Changeup,-0.067,2.256,L,1.0,1.0
10990,Asher Wojciechowski,4 Seam Fastball,0.999,2.3480000000000003,L,1.0,2.0
10991,Asher Wojciechowski,4 Seam Fastball,-0.866,4.137,L,0.0,0.0
10992,Asher Wojciechowski,4 Seam Fastball,-0.079,2.806,L,1.0,0.0
10993,Asher Wojciechowski,Slider,-1.186,2.635,L,1.0,1.0
10994,Asher Wojciechowski,Changeup,0.001,1.879,L,2.0,1.0
10995,Asher Wojciechowski,4 Seam Fastball,-0.507,3.466,L,2.0,2.0
10996,Asher Wojciechowski,Changeup,-1.365,2.277,L,0.0,0.0
10997,Asher Wojciechowski,Slider,-0.909,4.113,L,1.0,0.0
10998,Asher Wojciechowski,Changeup,0.081,3.579,L,2.0,0.0
10999,Asher Wojciechowski,4 Seam Fastball,0.371,2.821,L,3.0,0.0
11000,Asher Wojciechowski,Changeup,-1.272,3.02,L,3.0,1.0
11001,Asher Wojciechowski,4 Seam Fastball,0.408,2.434,L,0.0,0.0
11002,Asher Wojciechowski,4 Seam Fastball,0.642,4.313,L,0.0,1.0
11003,Asher Wojciechowski,4 Seam Fastball,0.069,3.665,L,1.0,1.0
11004,Asher Wojciechowski,Slider,0.902,1.869,L,1.0,2.0
11005,Asher Wojciechowski,Slider,0.97,0.589,L,2.0,2.0
11006,Asher Wojciechowski,Changeup,-0.479,2.193,L,3.0,2.0
11007,Asher Wojciechowski,4 Seam Fastball,-0.905,3.543,L,3.0,2.0
11008,Asher Wojciechowski,Slider,-0.165,2.321,L,3.0,2.0
11009,Asher Wojciechowski,Slider,0.061,2.067,R,0.0,0.0
11027,Asher Wojciechowski,4 Seam Fastball,-0.976,1.917,L,0.0,0.0
11028,Asher Wojciechowski,4 Seam Fastball,-0.376,2.521,L,0.0,1.0
11029,Asher Wojciechowski,4 Seam Fastball,-1.4340000000000002,4.019,L,0.0,0.0
11030,Asher Wojciechowski,Cutter,-0.061,3.513,L,1.0,0.0
11031,Asher Wojciechowski,4 Seam Fastball,-0.927,2.201,L,2.0,0.0
11032,Asher Wojciechowski,4 Seam Fastball,-0.16699999999999998,2.667,R,0.0,0.0
11033,Asher Wojciechowski,Cutter,-0.05,3.116,R,0.0,1.0
11034,Asher Wojciechowski,Slider,0.521,1.026,R,0.0,2.0
11035,Asher Wojciechowski,4 Seam Fastball,-1.14,2.322,R,1.0,2.0
11036,Asher Wojciechowski,4 Seam Fastball,-1.155,2.279,R,2.0,2.0
11037,Asher Wojciechowski,4 Seam Fastball,0.264,1.882,R,3.0,2.0
11038,Asher Wojciechowski,4 Seam Fastball,0.095,2.813,R,3.0,2.0
11039,Asher Wojciechowski,4 Seam Fastball,0.075,3.1010000000000004,L,0.0,0.0
11040,Asher Wojciechowski,Slider,-0.102,1.713,L,0.0,1.0
11041,Asher Wojciechowski,Changeup,-0.996,1.699,L,0.0,2.0
11042,Asher Wojciechowski,4 Seam Fastball,0.457,2.73,L,0.0,2.0
11054,Asher Wojciechowski,4 Seam Fastball,-1.351,4.527,L,0.0,0.0
11055,Asher Wojciechowski,4 Seam Fastball,0.274,2.041,L,1.0,0.0
11056,Asher Wojciechowski,4 Seam Fastball,-1.09,2.235,L,0.0,0.0
11057,Asher Wojciechowski,Slider,0.212,3.113,L,0.0,1.0
11058,Asher Wojciechowski,Changeup,-0.541,2.398,L,1.0,1.0
11059,Asher Wojciechowski,Slider,-0.7609999999999999,0.79,L,1.0,2.0
11060,Asher Wojciechowski,Changeup,-1.032,2.8280000000000003,L,2.0,2.0
11061,Asher Wojciechowski,4 Seam Fastball,0.198,3.841,L,2.0,2.0
11062,Asher Wojciechowski,Slider,-1.186,3.445,L,2.0,2.0
11063,Asher Wojciechowski,4 Seam Fastball,0.0,2.708,L,3.0,2.0
11064,Asher Wojciechowski,4 Seam Fastball,0.997,2.883,L,0.0,0.0
11065,Asher Wojciechowski,4 Seam Fastball,-0.917,3.913,L,1.0,0.0
11066,Asher Wojciechowski,Changeup,-0.06,1.413,L,2.0,0.0
11067,Asher Wojciechowski,4 Seam Fastball,-0.5489999999999999,3.543,L,3.0,0.0
12893,Miguel Castro,4 Seam Fastball,-0.234,2.181,L,0.0,0.0
12894,Miguel Castro,Changeup,-1.39,2.355,L,0.0,1.0
12895,Miguel Castro,4 Seam Fastball,0.75,1.098,L,1.0,1.0
12896,Miguel Castro,4 Seam Fastball,-0.637,2.5860000000000003,L,2.0,1.0
12897,Miguel Castro,4 Seam Fastball,-0.201,1.756,L,0.0,0.0
12898,Miguel Castro,Changeup,-0.8079999999999999,1.827,L,0.0,1.0
12899,Miguel Castro,Changeup,-1.834,2.123,L,0.0,2.0
12900,Miguel Castro,Slider,-2.173,5.216,L,0.0,2.0
12901,Miguel Castro,4 Seam Fastball,0.6990000000000001,1.379,L,1.0,2.0
12902,Miguel Castro,Changeup,-1.346,1.879,L,1.0,2.0
12903,Miguel Castro,4 Seam Fastball,0.232,1.6840000000000002,L,0.0,0.0
12904,Miguel Castro,Changeup,-0.485,1.366,L,0.0,1.0
12905,Miguel Castro,Changeup,-0.236,-0.245,L,0.0,2.0
12906,Miguel Castro,Changeup,-0.546,1.278,L,1.0,2.0
12907,Miguel Castro,4 Seam Fastball,-0.415,2.212,L,1.0,2.0
26215,Miguel Castro,4 Seam Fastball,-1.73,3.06,L,0.0,0.0
26216,Miguel Castro,4 Seam Fastball,0.02,2.04,L,1.0,0.0
26217,Miguel Castro,Changeup,-0.43,2.27,L,1.0,1.0
26218,Miguel Castro,Changeup,-1.2,1.54,L,1.0,2.0
26219,Miguel Castro,Slider,-2.35,3.71,L,2.0,2.0
26220,Miguel Castro,4 Seam Fastball,-2.33,3.07,L,3.0,2.0
26221,Miguel Castro,4 Seam Fastball,-1.31,3.28,R,0.0,0.0
26222,Miguel Castro,4 Seam Fastball,-0.72,1.89,R,1.0,0.0
26223,Miguel Castro,4 Seam Fastball,-0.68,2.48,L,0.0,0.0
26224,Miguel Castro,Changeup,-0.38,1.7,L,0.0,1.0
26225,Miguel Castro,Slider,-1.21,3.81,L,0.0,2.0
26226,Miguel Castro,4 Seam Fastball,-2.07,2.43,L,1.0,2.0
26227,Miguel Castro,Changeup,1.48,1.16,L,2.0,2.0
26228,Miguel Castro,4 Seam Fastball,-0.98,2.45,L,3.0,2.0
26229,Miguel Castro,Slider,-0.59,1.85,R,0.0,0.0
26230,Miguel Castro,4 Seam Fastball,-1.35,3.16,R,0.0,1.0
26231,Miguel Castro,4 Seam Fastball,-0.2,2.87,L,0.0,0.0
26232,Miguel Castro,Changeup,-0.21,0.41,L,0.0,1.0
26233,Miguel Castro,Changeup,-1.24,2.36,L,0.0,2.0
26846,Andrew Cashner,4 Seam Fastball,-0.58,2.46,L,0.0,0.0
26847,Andrew Cashner,4 Seam Fastball,0.07,1.22,L,0.0,1.0
26848,Andrew Cashner,4 Seam Fastball,-0.7,1.34,L,1.0,1.0
26849,Andrew Cashner,4 Seam Fastball,0.26,3.68,L,1.0,2.0
26850,Andrew Cashner,Slider,-0.06,1.06,L,1.0,2.0
