,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
682686,Drew Smyly,4 Seam Fastball,1.951,4.107,R,1.0,1.0
682687,Drew Smyly,4 Seam Fastball,0.195,1.824,R,2.0,1.0
682688,Drew Smyly,4 Seam Fastball,-0.106,2.106,R,2.0,2.0
682689,Drew Smyly,4 Seam Fastball,-0.933,2.057,R,0.0,0.0
682690,Drew Smyly,4 Seam Fastball,0.677,1.421,R,1.0,0.0
682691,Drew Smyly,4 Seam Fastball,0.394,1.896,R,2.0,0.0
682692,Drew Smyly,4 Seam Fastball,1.332,2.563,R,2.0,1.0
682693,Drew Smyly,4 Seam Fastball,0.401,1.814,R,2.0,2.0
682694,Drew Smyly,4 Seam Fastball,0.318,2.047,L,0.0,0.0
682695,Drew Smyly,Cutter,-0.782,-0.263,L,0.0,1.0
682696,Drew Smyly,4 Seam Fastball,0.667,2.375,L,1.0,1.0
682697,Drew Smyly,4 Seam Fastball,0.58,1.65,L,2.0,1.0
682698,Drew Smyly,4 Seam Fastball,0.102,0.621,L,3.0,1.0
682699,Drew Smyly,4 Seam Fastball,-0.584,1.529,L,3.0,2.0
682708,Drew Smyly,Slider,-0.31,3.999,L,0.0,0.0
682709,Drew Smyly,Slider,-0.171,3.691,L,1.0,0.0
682710,Drew Smyly,4 Seam Fastball,-0.531,2.113,L,2.0,0.0
682711,Drew Smyly,4 Seam Fastball,-0.071,1.635,L,2.0,1.0
682712,Drew Smyly,Slider,-0.5329999999999999,2.4090000000000003,L,2.0,2.0
682713,Drew Smyly,Slider,-0.248,3.791,R,0.0,0.0
682714,Drew Smyly,4 Seam Fastball,0.238,2.091,R,1.0,0.0
682715,Drew Smyly,Cutter,-0.532,0.446,R,1.0,1.0
682716,Drew Smyly,4 Seam Fastball,-0.102,2.661,R,2.0,1.0
682717,Drew Smyly,4 Seam Fastball,-0.275,1.903,L,0.0,0.0
682718,Drew Smyly,4 Seam Fastball,0.7659999999999999,0.8959999999999999,R,0.0,0.0
682719,Drew Smyly,Cutter,-0.491,0.773,R,1.0,0.0
682720,Drew Smyly,4 Seam Fastball,0.18600000000000005,2.844,R,1.0,1.0
682721,Drew Smyly,4 Seam Fastball,-1.24,2.861,R,1.0,2.0
682722,Drew Smyly,Slider,-0.992,0.89,L,0.0,0.0
682723,Drew Smyly,Slider,-1.661,1.135,L,1.0,0.0
682724,Drew Smyly,4 Seam Fastball,-1.822,1.495,L,2.0,0.0
682725,Drew Smyly,4 Seam Fastball,0.444,2.529,L,3.0,0.0
682726,Drew Smyly,4 Seam Fastball,-0.98,2.08,L,3.0,1.0
682727,Drew Smyly,4 Seam Fastball,-0.912,2.025,L,3.0,2.0
