,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
494,Felix Hernandez,Sinker,-1.09,3.93,L,1.0,2.0
495,Felix Hernandez,Sinker,-0.04,2.52,R,0.0,0.0
496,Felix Hernandez,Changeup,-1.06,3.71,L,0.0,0.0
497,Felix Hernandez,Sinker,-0.19,2.28,L,1.0,0.0
498,Felix Hernandez,Curveball,0.91,1.42,L,1.0,1.0
499,Felix Hernandez,Sinker,-1.61,2.82,L,1.0,2.0
500,Felix Hernandez,Sinker,-0.88,2.07,L,2.0,2.0
3607,Anthony Bass,Cutter,-0.389,3.09,L,0.0,0.0
3608,Anthony Bass,Cutter,0.542,2.029,L,0.0,1.0
3609,Anthony Bass,Cutter,-0.551,2.925,L,1.0,1.0
3610,Anthony Bass,Cutter,0.882,3.451,L,1.0,2.0
3611,Anthony Bass,Cutter,0.22,2.486,R,0.0,0.0
3612,Anthony Bass,Changeup,0.503,-0.504,L,0.0,0.0
3613,Anthony Bass,Cutter,-1.466,1.887,L,1.0,0.0
3614,Anthony Bass,Cutter,-1.336,3.1630000000000003,L,2.0,0.0
3615,Anthony Bass,Cutter,-0.45,3.274,L,3.0,0.0
3616,Anthony Bass,Cutter,0.476,2.465,L,3.0,1.0
3617,Anthony Bass,4 Seam Fastball,-1.336,1.29,L,3.0,2.0
3618,Anthony Bass,Slider,0.13,2.897,R,0.0,0.0
3619,Anthony Bass,4 Seam Fastball,0.009000000000000001,2.9610000000000003,R,0.0,1.0
3620,Anthony Bass,Changeup,-0.787,1.5119999999999998,L,0.0,0.0
3621,Anthony Bass,Cutter,-0.965,2.967,L,1.0,0.0
3622,Anthony Bass,Changeup,-0.309,0.631,L,1.0,1.0
3623,Anthony Bass,Cutter,-0.473,2.378,L,2.0,1.0
3624,Anthony Bass,Slider,0.3720000000000001,2.205,L,2.0,2.0
3625,Anthony Bass,Cutter,-1.007,3.172,L,2.0,2.0
3626,Anthony Bass,Slider,0.816,0.908,L,2.0,2.0
3640,Anthony Bass,Cutter,-1.125,3.755,R,0.0,0.0
3641,Anthony Bass,Slider,0.371,4.101,R,1.0,0.0
3642,Anthony Bass,Cutter,-0.171,3.053,R,2.0,0.0
3643,Anthony Bass,4 Seam Fastball,-0.212,3.277,R,2.0,1.0
3644,Anthony Bass,Slider,0.5710000000000001,1.7819999999999998,R,2.0,2.0
3645,Anthony Bass,Cutter,-0.865,2.302,L,0.0,0.0
3646,Anthony Bass,Changeup,-0.568,1.551,L,0.0,1.0
3647,Anthony Bass,Cutter,-0.151,3.179,L,0.0,2.0
3648,Anthony Bass,2 Seam Fastball,-0.777,3.35,R,0.0,0.0
3649,Anthony Bass,Cutter,0.42,2.717,R,0.0,1.0
3650,Anthony Bass,4 Seam Fastball,-0.909,1.896,R,0.0,2.0
3651,Anthony Bass,Slider,0.608,1.742,R,0.0,2.0
3652,Anthony Bass,4 Seam Fastball,0.364,0.375,L,0.0,0.0
3653,Anthony Bass,Cutter,-0.197,3.089,L,1.0,0.0
3654,Anthony Bass,Cutter,-0.006,3.576,L,1.0,1.0
3655,Anthony Bass,4 Seam Fastball,0.815,3.994,L,1.0,2.0
3656,Anthony Bass,Slider,-0.531,3.165,L,2.0,2.0
8569,Mike Leake,Sinker,0.688,1.729,R,0.0,0.0
8570,Mike Leake,Changeup,-0.544,1.806,R,0.0,1.0
8571,Mike Leake,Sinker,-1.004,2.044,L,0.0,0.0
8572,Mike Leake,Cutter,1.372,1.654,L,0.0,1.0
8573,Mike Leake,Sinker,-0.255,1.82,L,1.0,1.0
8574,Mike Leake,Sinker,-0.293,1.29,R,0.0,0.0
8593,Mike Leake,Sinker,-0.5820000000000001,0.976,L,0.0,0.0
8594,Mike Leake,Changeup,-0.93,1.6869999999999998,L,1.0,0.0
8595,Mike Leake,Cutter,1.318,3.158,L,1.0,1.0
8596,Mike Leake,Sinker,0.022,2.008,L,2.0,1.0
8597,Mike Leake,Cutter,-1.055,1.24,L,2.0,2.0
8598,Mike Leake,Cutter,-1.229,3.3710000000000004,L,3.0,2.0
8599,Mike Leake,Sinker,-0.08199999999999999,2.498,R,0.0,0.0
8600,Mike Leake,Sinker,-1.0759999999999998,1.965,R,0.0,1.0
8601,Mike Leake,Slider,0.993,1.815,R,0.0,2.0
8602,Mike Leake,Sinker,-1.724,1.953,L,0.0,0.0
8603,Mike Leake,Sinker,-0.847,2.17,L,1.0,0.0
8604,Mike Leake,Sinker,-1.52,1.907,L,1.0,1.0
8605,Mike Leake,Sinker,-0.72,2.3280000000000003,L,2.0,1.0
8606,Mike Leake,Knuckle Curve,1.0759999999999998,1.396,R,0.0,0.0
8607,Mike Leake,Sinker,-0.406,1.766,R,1.0,0.0
8608,Mike Leake,Sinker,-0.935,2.605,R,1.0,1.0
8609,Mike Leake,Sinker,0.229,3.5380000000000003,R,1.0,2.0
8610,Mike Leake,4 Seam Fastball,-0.201,3.033,R,2.0,2.0
8615,Mike Leake,Sinker,-0.147,2.844,R,0.0,0.0
8616,Mike Leake,Sinker,-1.481,3.32,R,0.0,1.0
8617,Mike Leake,Sinker,-1.509,2.295,R,1.0,1.0
8618,Mike Leake,Sinker,-0.752,3.325,R,2.0,1.0
8619,Mike Leake,Sinker,-0.103,2.819,R,3.0,1.0
