,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
6919,Rick Porcello,FT,-1.3630000000000002,3.656,R,1.0,0.0
6920,Rick Porcello,FT,-0.526,3.188,R,2.0,0.0
6921,Rick Porcello,FT,0.189,2.351,L,0.0,0.0
6922,Rick Porcello,FT,-0.46,1.675,L,0.0,1.0
6923,Rick Porcello,FT,-0.609,2.264,L,0.0,0.0
6939,Rick Porcello,FT,-0.652,2.418,R,0.0,0.0
6940,Rick Porcello,FT,-0.8390000000000001,2.75,R,0.0,1.0
6941,Rick Porcello,FT,-0.612,2.136,L,0.0,0.0
6942,Rick Porcello,FF,0.613,2.702,R,0.0,0.0
6943,Rick Porcello,FT,-1.129,2.21,R,0.0,1.0
6944,Rick Porcello,FT,-0.599,2.526,L,0.0,0.0
6945,Rick Porcello,FT,-1.497,1.597,L,0.0,1.0
6946,Rick Porcello,FT,-0.706,1.57,L,1.0,1.0
6947,Rick Porcello,FF,-1.017,1.826,L,1.0,2.0
6948,Rick Porcello,FT,1.053,2.91,L,1.0,2.0
6949,Rick Porcello,FT,-1.232,2.8560000000000003,L,2.0,2.0
6950,Rick Porcello,SL,0.017,1.52,L,2.0,2.0
6967,Rick Porcello,SL,0.394,4.563,R,0.0,0.0
6968,Rick Porcello,FT,0.108,3.966,R,1.0,0.0
6969,Rick Porcello,FT,-0.179,2.452,R,2.0,0.0
6970,Rick Porcello,FT,-0.4920000000000001,1.968,R,2.0,1.0
6971,Rick Porcello,FT,-0.37,1.967,R,2.0,2.0
6972,Rick Porcello,FT,-0.045,2.144,L,0.0,0.0
6973,Rick Porcello,CU,-1.863,5.0539999999999985,L,0.0,1.0
6974,Rick Porcello,CH,-1.37,2.625,L,1.0,1.0
6975,Rick Porcello,FF,0.942,3.978,R,0.0,0.0
6976,Rick Porcello,FT,-1.5219999999999998,2.67,R,1.0,0.0
6977,Rick Porcello,FT,-0.13,1.003,R,2.0,0.0
6978,Rick Porcello,FT,-0.425,2.82,R,3.0,0.0
6979,Rick Porcello,FT,0.073,3.074,R,3.0,1.0
6980,Rick Porcello,FT,0.287,1.396,L,0.0,0.0
6981,Rick Porcello,FT,-0.997,2.636,L,1.0,0.0
6997,Rick Porcello,FT,0.918,2.298,L,0.0,0.0
6998,Rick Porcello,CH,-0.503,1.779,L,1.0,0.0
6999,Rick Porcello,SL,-0.426,3.319,L,1.0,1.0
